genome_id	assembly_id	phylum	class	domain	order	family	genus	species	GTDB_version	completeness	contamination	genome_size	genome_gc	genome_n50	contigs	Release	coding_density
EHM014278	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp900540715	2.3.0	60.76	0.128	3436251	0.43	128794	40		NA
EHM014279	EHA00335	p__Pseudomonadota	c__Gammaproteobacteria	d__Bacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Fluviibacter	s__	2.3.0	96.81	0.052	2055859	0.554	536345	10		NA
EHM014280	EHA00335	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Erysipelotrichaceae	g__	s__	2.3.0	59.05	2.729	2706493	0.366	3574	841		NA
EHM014281	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__MGBC165282	s__	2.3.0	99.03	3.303	4657082	0.492	56479	127		NA
EHM014282	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Velocimicrobium	s__	2.3.0	65.38	2.125	2865423	0.415	6139	582		NA
EHM014283	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus	s__	2.3.0	97.98	1.565	3687233	0.42	44988	186		NA
EHM014284	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__	2.3.0	50.87	1.116	2696716	0.496	6799	479		NA
EHM014285	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	82.06	1.724	5349492	0.447	115033	82		NA
EHM014286	EHA00335	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__	2.3.0	96.59	0	3029981	0.574	33950	139		NA
EHM014287	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Lacrimispora	s__	2.3.0	74.03	1.476	3511048	0.453	12245	379		NA
EHM014288	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	95.52	3.411	5738644	0.431	84964	123		NA
EHM014289	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella_A	s__	2.3.0	95.43	1.918	4108103	0.487	17501	307		NA
EHM014290	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	99.25	3.531	6040335	0.427	54826	193		NA
EHM014291	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__	2.3.0	90.97	2.085	3268205	0.278	6202	657		NA
EHM014292	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	90.53	1.809	4946321	0.479	18608	446		NA
EHM014293	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__	2.3.0	55.38	7.494	3224501	0.573	2712	1210		NA
EHM014294	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__JAAYNV01	s__	2.3.0	98.27	2.685	4143344	0.462	61773	163		NA
EHM014295	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__	s__	2.3.0	98.65	1.344	5001292	0.317	31056	253		NA
EHM014296	EHA00335	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Coprobacillaceae	g__Coprobacillus	s__	2.3.0	100	0.606	3732908	0.301	51215	109		NA
EHM014297	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	51.19	3.448	2825931	0.431	4632	703		NA
EHM014298	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__RGIG4733	s__	2.3.0	97.12	2.572	4379985	0.426	73687	110		NA
EHM014299	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Kineothrix	s__	2.3.0	96.55	2.56	3459028	0.43	141146	40		NA
EHM014300	EHA00335	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	98.97	0	3698983	0.451	120155	43		NA
EHM014301	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Velocimicrobium	s__	2.3.0	96.64	1.901	4019954	0.324	146526	78		NA
EHM014302	EHA00335	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Lachnotalea	s__	2.3.0	96.51	2.359	4285477	0.363	161176	50		NA
EHM014303	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__	s__	2.3.0	94.35	1.411	2023193	0.379	104783	42		NA
EHM014304	EHA00336	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Opitutales	f__LL51	g__	s__	2.3.0	79.5	0	870925	0.554	267514	5		NA
EHM014305	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__DTU072	g__	s__	2.3.0	93.52	2.217	2015981	0.47	49404	82		NA
EHM014306	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	98.4	4.972	5107985	0.414	100568	109		NA
EHM014307	EHA00336	p__Desulfobacterota	c__Desulfovibrionia	d__Bacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__	s__	2.3.0	61.37	2.662	2054643	0.584	3813	579		NA
EHM014308	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus	s__	2.3.0	80.41	4.082	2490501	0.424	3904	716		NA
EHM014309	EHA00336	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__UBA3830	f__UBA3830	g__	s__	2.3.0	72.93	2.15	918507	0.316	4211	255		NA
EHM014310	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	90.24	3.16	3673425	0.509	14308	323		NA
EHM014311	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__	s__	2.3.0	55.2	0.13	1278520	0.409	3432	408		NA
EHM014312	EHA00336	p__Desulfobacterota	c__Desulfovibrionia	d__Bacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Mailhella	s__	2.3.0	70.16	6.585	2845788	0.613	5163	656		NA
EHM014313	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	97.58	0.818	4121915	0.492	37444	162		NA
EHM014314	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	80.51	1.724	3813119	0.47	29122	204		NA
EHM014315	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__RGIG4733	s__	2.3.0	95.4	1.997	4253109	0.427	65657	105		NA
EHM014316	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__	2.3.0	95.47	2.173	3760194	0.421	110699	54		NA
EHM014317	EHA00336	p__Verrucomicrobiota	c__Verrucomicrobiae	d__Bacteria	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__	2.3.0	96.93	0	2842764	0.577	37232	118		NA
EHM014318	EHA00336	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__	2.3.0	80.12	4.339	2495504	0.364	4687	601		NA
EHM014319	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	77.58	2.586	4645813	0.483	30909	236		NA
EHM014320	EHA00336	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__RUG11792	f__	g__	s__	2.3.0	61.04	0.097	699818	0.377	3693	210		NA
EHM014321	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	68.31	0.867	3678086	0.455	36125	149		NA
EHM014322	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	2.3.0	81.52	1.724	4875753	0.465	26698	278		NA
EHM014323	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	56.2	1.724	3973638	0.439	44713	144		NA
EHM014324	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	61.64	6.72	2354617	0.413	54811	93		NA
EHM014325	EHA00336	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__Rickettsiales	f__UBA1997	g__	s__	2.3.0	66.1	1.701	1479531	0.365	8598	214		NA
EHM014326	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Oscillibacter	s__	2.3.0	94.4	0.732	2617386	0.581	18172	236		NA
EHM014327	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	99.03	1.602	2298410	0.546	83805	52		NA
EHM014328	EHA00336	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Coprobacillaceae	g__Coprobacillus	s__	2.3.0	67.27	1.886	2481770	0.304	3912	705		NA
EHM014329	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__	2.3.0	59.96	1.006	2486316	0.461	4791	607		NA
EHM014330	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__	s__	2.3.0	77.27	0.632	3572882	0.494	8279	509		NA
EHM014331	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__	s__	2.3.0	94.05	2.217	2051353	0.378	75522	39		NA
EHM014332	EHA00336	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__RF32	f__CAG-239	g__CAZU01	s__	2.3.0	50.25	2.688	973618	0.385	8917	151		NA
EHM014333	EHA00336	p__Desulfobacterota	c__Desulfovibrionia	d__Bacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__	2.3.0	97.06	1.084	3833373	0.506	15394	332		NA
EHM014334	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	2.3.0	99.13	0.48	4788503	0.469	81178	101		NA
EHM014335	EHA00336	p__Fusobacteriota	c__Fusobacteriia	d__Bacteria	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A ulcerans_A	2.3.0	89.13	3.37	2306313	0.306	6721	446		NA
EHM014336	EHA00336	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__	g__	s__	2.3.0	56.6	0.134	1294290	0.457	3000	450		NA
EHM014337	EHA00336	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	96.3	0.537	3283359	0.455	39033	149		NA
EHM014338	EHA00336	p__Bacillota_C	c__Negativicutes	d__Bacteria	o__Selenomonadales	f__	g__	s__	2.3.0	60.28	2.347	2361799	0.544	4231	645		NA
EHM014339	EHA00337	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__	2.3.0	76.57	4.088	2398972	0.363	4511	609		NA
EHM014340	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	92.56	1.344	3322459	0.453	12327	357		NA
EHM014341	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	89.36	5.803	3189253	0.592	18402	272		NA
EHM014342	EHA00337	p__Bacillota	c__Bacilli	d__Bacteria	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__	2.3.0	100	2.944	1086490	0.268	157087	30		NA
EHM014343	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	60.34	5.172	2598159	0.58	10326	315		NA
EHM014344	EHA00337	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__MGBC116941	g__	s__	2.3.0	55.51	1.282	947492	0.475	2781	353		NA
EHM014345	EHA00337	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__	s__	2.3.0	95.96	0	2005428	0.383	212759	23		NA
EHM014346	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	98.79	3.5	5944626	0.449	51929	181		NA
EHM014347	EHA00337	p__Campylobacterota	c__Campylobacteria	d__Bacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_J	s__	2.3.0	99.58	0	1793210	0.355	100018	37		NA
EHM014348	EHA00337	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Ventrimonas	s__	2.3.0	63.12	6.855	3103675	0.495	3125	1037		NA
EHM014349	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	66.15	1.379	2163000	0.432	5617	439		NA
EHM014350	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp900540715	2.3.0	97.3	1.253	6188716	0.433	83608	145		NA
EHM014351	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	80.84	7.08	4973996	0.433	33988	354		NA
EHM014352	EHA00337	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	97.48	1.832	3838377	0.468	52098	126		NA
EHM014353	EHA00338	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__	2.3.0	97.68	3.773	3306524	0.355	31327	147		NA
EHM014354	EHA00338	p__Bacillota_B	c__Peptococcia	d__Bacteria	o__Peptococcales	f__Peptococcaceae	g__UBA7185	s__	2.3.0	82.09	2.763	3615632	0.385	7855	606		NA
EHM014355	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	77.91	1.724	5092501	0.431	46416	191		NA
EHM014356	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	2.3.0	58.22	0	3607658	0.46	13741	356		NA
EHM014357	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__	2.3.0	80.74	1.582	3877721	0.501	8723	569		NA
EHM014358	EHA00338	p__Bacillota	c__Bacilli	d__Bacteria	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__	2.3.0	100	1.441	1038998	0.268	172182	24		NA
EHM014359	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__JAAYNV01	s__	2.3.0	97.7	0.369	3993935	0.458	97526	95		NA
EHM014360	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__RGIG4733	s__	2.3.0	96.55	1.997	4188299	0.427	64865	110		NA
EHM014361	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	77.58	3.448	4673755	0.433	31432	220		NA
EHM014362	EHA00338	p__Desulfobacterota	c__Desulfovibrionia	d__Bacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Lawsonia	s__	2.3.0	77.77	0.591	1483483	0.332	5307	343		NA
EHM014363	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	95.97	0.766	4134147	0.493	139295	46		NA
EHM014364	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__MGBC101980	s__	2.3.0	95.96	0.026	1927412	0.494	220647	13		NA
EHM014365	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__	2.3.0	94.58	1.38	4854936	0.496	33183	268		NA
EHM014366	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	2.3.0	91.93	1.089	4578413	0.468	24694	280		NA
EHM014367	EHA00338	p__Bacillota_C	c__Negativicutes	d__Bacteria	o__Selenomonadales	f__Massilibacillaceae	g__	s__	2.3.0	75.39	4.346	2672130	0.437	6709	505		NA
EHM014368	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	2.3.0	94.75	2.319	5081833	0.432	37070	234		NA
EHM014369	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Ventrimonas	s__	2.3.0	56.85	1.265	2769311	0.492	3544	838		NA
EHM014370	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__	2.3.0	98.97	3.59	4042524	0.421	120366	64		NA
EHM014371	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	72.91	5.434	2859016	0.403	5538	596		NA
EHM014372	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	64.53	0	2750618	0.423	58306	84		NA
EHM014373	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__	s__	2.3.0	88.25	1.199	4324957	0.315	11965	458		NA
EHM014374	EHA00338	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia sp001439985	2.3.0	98.71	0	1320931	0.338	14740	148		NA
EHM014375	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__	2.3.0	96.55	1.149	4700385	0.411	61860	123		NA
EHM014376	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	90.99	0.789	4537473	0.412	40260	199		NA
EHM014377	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__	s__	2.3.0	95.96	0	2082300	0.385	169475	19		NA
EHM014378	EHA00338	p__Fusobacteriota	c__Fusobacteriia	d__Bacteria	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A ulcerans_A	2.3.0	97.75	2.247	3154104	0.298	10002	424		NA
EHM014379	EHA00338	p__Pseudomonadota	c__Alphaproteobacteria	d__Bacteria	o__UBA3830	f__	g__	s__	2.3.0	93.4	0	915066	0.338	74362	18		NA
EHM014380	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__	s__	2.3.0	97.98	0	3548434	0.418	137472	48		NA
EHM014381	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	2.3.0	98.26	0.192	4284811	0.51	105285	84		NA
EHM014382	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus	s__	2.3.0	96.97	1.7	3546405	0.421	26782	230		NA
EHM014383	EHA00338	p__Campylobacterota	c__Campylobacteria	d__Bacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_J	s__	2.3.0	95.78	1.349	1740367	0.356	12684	214		NA
EHM014384	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Lachnotalea	s__	2.3.0	97.15	0.632	3811269	0.365	50473	113		NA
EHM014385	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	97.37	1.682	3259771	0.577	38081	115		NA
EHM014386	EHA00338	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__	s__	2.3.0	73.22	1.425	2383423	0.407	8414	363		NA
EHM014387	EHA00338	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__MGBC140009	s__	2.3.0	92.39	2.237	4006787	0.3	36293	199		NA
EHM014388	EHA00339	p__Desulfobacterota	c__Desulfovibrionia	d__Bacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__	2.3.0	94.06	1.884	3598323	0.506	7610	588		NA
EHM014389	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides thetaiotaomicron	2.3.0	72.69	1.078	4298764	0.437	139546	59		NA
EHM014390	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	56.32	3.003	2668857	0.508	3635	802		NA
EHM014391	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__	2.3.0	56.91	2.215	2668257	0.458	7616	438		NA
EHM014392	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__CAG-274	g__	s__	2.3.0	65.58	1.403	2166865	0.262	2960	764		NA
EHM014393	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	71.7	3.912	4706983	0.413	66997	171		NA
EHM014394	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Ruminococcaceae	g__Negativibacillus	s__	2.3.0	98.65	0.894	3731775	0.418	76369	119		NA
EHM014395	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__	2.3.0	99.03	1.449	3956388	0.42	182737	45		NA
EHM014396	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	57.14	0.557	3449554	0.428	29945	230		NA
EHM014397	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__	2.3.0	74.82	3.448	4508115	0.437	62497	119		NA
EHM014398	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	94.47	0.026	3027868	0.591	58369	87		NA
EHM014399	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__	2.3.0	61.81	1.097	3122275	0.503	5116	731		NA
EHM014400	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__	g__	s__	2.3.0	98.32	0.671	3438836	0.29	48131	177		NA
EHM014401	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Christensenellales	f__UBA3700	g__	s__	2.3.0	96.37	0	1971288	0.382	192306	25		NA
EHM014402	EHA00339	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__	2.3.0	93.56	6.603	3310439	0.359	10243	454		NA
EHM014403	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp902362375	2.3.0	57.75	0	4292547	0.413	163866	50		NA
EHM014404	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	54.83	5.197	2656481	0.458	61958	62		NA
EHM014405	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__	2.3.0	96.55	0.85	4586947	0.412	57610	123		NA
EHM014406	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides_B	s__	2.3.0	99.61	0.961	3769661	0.459	73977	75		NA
EHM014407	EHA00339	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Erysipelotrichaceae	g__C-19	s__	2.3.0	60.69	1.886	2763591	0.366	3707	811		NA
EHM014408	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Acutalibacteraceae	g__RGIG9287	s__	2.3.0	82.43	0.671	1372219	0.308	38942	58		NA
EHM014409	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	2.3.0	67.38	0.743	3351642	0.41	51440	128		NA
EHM014410	EHA00339	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__	s__	2.3.0	98.65	0.894	4245298	0.319	108858	70		NA
EHM014411	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Rikenella	s__	2.3.0	73.84	0	1872374	0.562	4914	438		NA
EHM014412	EHA00339	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	2.3.0	98.38	0.824	3550840	0.449	39235	139		NA
EHM014413	EHA00339	p__Bacillota	c__Bacilli	d__Bacteria	o__Erysipelotrichales	f__Coprobacillaceae	g__Coprobacillus	s__	2.3.0	98.58	0	3387345	0.308	47200	139		NA
